yyyymmdd,from_ccy,to_ccy,fx_rate
20180926,GBP,AUD,1.8142
20180927,GBP,AUD,1.8145
20180928,GBP,AUD,1.8042
20180930,GBP,AUD,1.8044
20181001,GBP,AUD,1.8054
20181002,GBP,AUD,1.8057
20181003,GBP,AUD,1.8219
20181004,GBP,AUD,1.8403
20181005,GBP,AUD,1.86
20181007,GBP,AUD,1.8597
20181008,GBP,AUD,1.8495
20181009,GBP,AUD,1.8505
20181010,GBP,AUD,1.8704
20181011,GBP,AUD,1.8571
20181012,GBP,AUD,1.8491
20181014,GBP,AUD,1.84
20181015,GBP,AUD,1.8446
20181016,GBP,AUD,1.8457
20181017,GBP,AUD,1.8449
20181018,GBP,AUD,1.8337
20181019,GBP,AUD,1.837
20181021,GBP,AUD,1.8369
20181022,GBP,AUD,1.8307
20181023,GBP,AUD,1.8323
20181024,GBP,AUD,1.8246
20181025,GBP,AUD,1.8102
20181026,GBP,AUD,1.8092
20181028,GBP,AUD,1.8066
20181029,GBP,AUD,1.8133
20181030,GBP,AUD,1.7882
20181031,GBP,AUD,1.8047
20181101,GBP,AUD,1.8056
20181102,GBP,AUD,1.8033
20181104,GBP,AUD,1.8108
20181105,GBP,AUD,1.8085
20181106,GBP,AUD,1.8076
20181107,GBP,AUD,1.804
20181108,GBP,AUD,1.8001
20181109,GBP,AUD,1.7953
20181111,GBP,AUD,1.7890000000000001
20181112,GBP,AUD,1.7913
20181113,GBP,AUD,1.7979
20181114,GBP,AUD,1.7967
20181115,GBP,AUD,1.7553
20181116,GBP,AUD,1.7505
20181118,GBP,AUD,1.7577
20181119,GBP,AUD,1.7622
20181120,GBP,AUD,1.7727
20181121,GBP,AUD,1.7594
20181122,GBP,AUD,1.7752
20181123,GBP,AUD,1.7717
20181125,GBP,AUD,1.7738
20181126,GBP,AUD,1.7766
20181127,GBP,AUD,1.7644
20181128,GBP,AUD,1.7555
20181129,GBP,AUD,1.7476
20181130,GBP,AUD,1.7451
20181202,GBP,AUD,1.7305
20181203,GBP,AUD,1.7294
20181204,GBP,AUD,1.7333
20181205,GBP,AUD,1.7521
20181206,GBP,AUD,1.7662
20181207,GBP,AUD,1.7661
20181209,GBP,AUD,1.7679
20181210,GBP,AUD,1.7472
20181211,GBP,AUD,1.7329
20181212,GBP,AUD,1.7495
20181213,GBP,AUD,1.7495
20181214,GBP,AUD,1.7542
20181216,GBP,AUD,1.7565
20181217,GBP,AUD,1.7579
20181218,GBP,AUD,1.7601
20181219,GBP,AUD,1.7739
20181220,GBP,AUD,1.7807
20181221,GBP,AUD,1.7932
20181223,GBP,AUD,1.7963
20181224,GBP,AUD,1.8022
20181225,GBP,AUD,1.8007
20181226,GBP,AUD,1.7877
20181227,GBP,AUD,1.7978
20181228,GBP,AUD,1.8024
20181230,GBP,AUD,1.8030000000000002
20181231,GBP,AUD,1.81
20190101,GBP,AUD,1.8059
20190102,GBP,AUD,1.8049
20190103,GBP,AUD,1.8026
20190104,GBP,AUD,1.7881
20190106,GBP,AUD,1.7885
20190107,GBP,AUD,1.7875
20190108,GBP,AUD,1.7811
20190109,GBP,AUD,1.7837
20190110,GBP,AUD,1.774
20190111,GBP,AUD,1.7801
20190113,GBP,AUD,1.7819
20190114,GBP,AUD,1.7874
20190115,GBP,AUD,1.7858
20190116,GBP,AUD,1.7975
20190117,GBP,AUD,1.8053
20190118,GBP,AUD,1.7962
20190120,GBP,AUD,1.7968
20190121,GBP,AUD,1.801
20190122,GBP,AUD,1.8183
20190123,GBP,AUD,1.8298
20190124,GBP,AUD,1.8418
20190125,GBP,AUD,1.8382
20190127,GBP,AUD,1.8373
20190128,GBP,AUD,1.8368
20190129,GBP,AUD,1.8261
20190130,GBP,AUD,1.8097
20190131,GBP,AUD,1.8024
20190201,GBP,AUD,1.8039
20190203,GBP,AUD,1.8035
20190204,GBP,AUD,1.8041
20190205,GBP,AUD,1.7896
20190206,GBP,AUD,1.82
20190207,GBP,AUD,1.824
20190208,GBP,AUD,1.8259999999999998
20190210,GBP,AUD,1.8259999999999998
20190211,GBP,AUD,1.8205
20190212,GBP,AUD,1.8169
20190213,GBP,AUD,1.8119999999999998
20190214,GBP,AUD,1.8016
20190215,GBP,AUD,1.8053
20190217,GBP,AUD,1.8094
20190218,GBP,AUD,1.8126
20190219,GBP,AUD,1.8230000000000002
20190220,GBP,AUD,1.8217
20190221,GBP,AUD,1.8393
20190222,GBP,AUD,1.8313
20190224,GBP,AUD,1.8318
20190225,GBP,AUD,1.8273
20190226,GBP,AUD,1.8443
20190227,GBP,AUD,1.8644
20190228,GBP,AUD,1.8695
20190301,GBP,AUD,1.865
