yyyymmdd,portfolio,mkt_val,weight
2019-11-29,LPPI GEF INTERNAL EQUITY BNYMILTD,2874900186.9032073,0.41920371577576876
2019-11-29,LPPI GEF INTRNL INCUBATOR BNYMILTD,11637001.16322507,0.0016968499116366488
2019-11-29,LPPI GEF MAGELLAN BNYMILTD,1006682636.4497911,0.14678947941537976
2019-11-29,LPPI GEF ROBECO BNYMILTD,1047390746.7573812,0.15272533457337528
2019-11-29,LPPI GEF WELLINGTON BNYMILTD,707488717.5586727,0.10316250303962791
2019-11-29,LPPI GF FT EGL BNYMILTD BRZEX650557,2749900.6605598335,0.0004009769035364896
2019-12-02,LPPI  GF BARON BNYMILTD BRZEX589145,20073809.802199412,0.0029508141478898973
2019-12-02,LPPI GEF BARON BNYMILTD,321950004.1980909,0.04732607495348735
2019-12-02,LPPI GEF CASH ONLY BNYMILTD,0.0,0.0
2019-12-02,LPPI GEF FIRST EAGLE BNYMILTD,858343152.7976348,0.1261749086983065
2019-12-02,LPPI GEF INTERNAL EQUITY BNYMILTD,2847636573.638638,0.41859748460010493
2019-12-02,LPPI GEF INTRNL INCUBATOR BNYMILTD,11545326.84274614,0.0016971424022287785
2019-12-02,LPPI GEF MAGELLAN BNYMILTD,995891276.6030672,0.14639423695438622
2019-12-02,LPPI GEF ROBECO BNYMILTD,1041974861.988408,0.1531684416061438
2019-12-02,LPPI GEF WELLINGTON BNYMILTD,702641936.483237,0.10328710830209815
2019-12-02,LPPI GF FT EGL BNYMILTD BRZEX650557,2746892.83636164,0.0004037883353555158
2019-12-03,LPPI  GF BARON BNYMILTD BRZEX589145,20250676.014854655,0.0030029922046452607
2019-12-03,LPPI GEF BARON BNYMILTD,319495470.4345695,0.04737829030649122
2019-12-03,LPPI GEF CASH ONLY BNYMILTD,0.0,0.0
2019-12-03,LPPI GEF FIRST EAGLE BNYMILTD,850649227.8554757,0.12614359136769973
2019-12-03,LPPI GEF INTERNAL EQUITY BNYMILTD,2818539824.7633724,0.41796397888336745
2019-12-03,LPPI GEF INTRNL INCUBATOR BNYMILTD,11448194.664036855,0.001697663787033378
2019-12-03,LPPI GEF MAGELLAN BNYMILTD,990821516.4506538,0.14692987473176286
2019-12-03,LPPI GEF ROBECO BNYMILTD,1032277654.1016896,0.15307744521827113
2019-12-03,LPPI GEF WELLINGTON BNYMILTD,697249300.6045856,0.10339576875725148
2019-12-03,LPPI GF FT EGL BNYMILTD BRZEX650557,2767496.6906316886,0.0004103947434768225
2019-12-04,LPPI  GF BARON BNYMILTD BRZEX589145,20274083.43488195,0.003010514374679653
2019-12-04,LPPI GEF BARON BNYMILTD,320639660.10572165,0.04761203183073976
2019-12-04,LPPI GEF CASH ONLY BNYMILTD,0.0,0.0
2019-12-04,LPPI GEF FIRST EAGLE BNYMILTD,847159191.4833442,0.1257953254357538
2019-12-04,LPPI GEF INTERNAL EQUITY BNYMILTD,2817280157.623582,0.41834011580681535
2019-12-04,LPPI GEF INTRNL INCUBATOR BNYMILTD,11446476.70684667,0.001699696204569672
2019-12-04,LPPI GEF MAGELLAN BNYMILTD,990883565.0839096,0.14713706915038652
2019-12-04,LPPI GEF ROBECO BNYMILTD,1029156522.6642795,0.15282025030761542
2019-12-04,LPPI GEF WELLINGTON BNYMILTD,694894693.8706443,0.10318545208247895
2019-12-04,LPPI GF FT EGL BNYMILTD BRZEX650557,2690704.558807529,0.00039954480696124776
2019-12-05,LPPI  GF BARON BNYMILTD BRZEX589145,20238912.59190676,0.0030166860611628857
