yyyymmdd,portfolio,var_%_mv,cvar_%_mv,volatility_1yr,volatility_1yr_vs_msci
2020-01-15,OVERALL,0.17862859839999998,0.2401718723,0.1055029302,0.113588293
2020-01-16,LPPI  GF BARON BNYMILTD BRZEX589145,0.4240859288,0.5741150037,0.2544406915,
2020-01-16,LPPI GEF BARON BNYMILTD,0.2156390403,0.2935169604,0.12739845819999998,
2020-01-16,LPPI GEF CASH ONLY BNYMILTD,1.9999999999999997e-09,2.8000000000000003e-09,1.2e-09,
2020-01-16,LPPI GEF FIRST EAGLE BNYMILTD,0.1524497527,0.2064828833,0.09068122,
2020-01-16,LPPI GEF INTERNAL EQUITY BNYMILTD,0.1976652627,0.26330405079999997,0.1153103341,
2020-01-16,LPPI GEF INTRNL INCUBATOR BNYMILTD,0.2094741224,0.2817517398,0.13264753640000002,
2020-01-16,LPPI GEF MAGELLAN BNYMILTD,0.2067751073,0.278953929,0.1229233614,
2020-01-16,LPPI GEF ROBECO BNYMILTD,0.1628853478,0.2214644142,0.09790922780000001,
2020-01-16,LPPI GEF WELLINGTON BNYMILTD,0.1871713586,0.253816622,0.11461504630000001,
2020-01-16,LPPI GF FT EGL BNYMILTD BRZEX650557,0.7614837583,1.0031225896,0.46765388369999994,
2020-01-16,OVERALL,0.17855117480000002,0.2398865212,0.1056097249,0.1137330586
